Day,Site,Station,Round,H Pheidole dentata ,T Pheidole dentata,H Solenopsis invicta,T Solenopsis invicta ,H Tapinoma sessile ,T Tapinoma sessile ,H Nylanderia fulva,T Nylanderia fulva ,H Pheidole moerens ,T Pheidole moerens ,H Camponotus pennsylvanicus ,T Camponotus pennsylvanicus ,H Crematogaster sp,T Crematogaster sp,H Undientified 1,T Unidentified 1,H Aphaenogaster treatae,T Aphaenogaster treatae,H Unidentified 2,T Cyphomyrmex rimosus,H Cyphomyrmex rimosus,Notes
1,a,1,1,,,,,,,,,,,,,,,,,,,,,,
1,a,1,2,,1,,,,,,,,,,,,,,,,,,,,
1,a,1,3,,2,,,,,,,,,,,,,,,,,,,,
1,a,1,4,,10,,,,,,,,,,,,,,,,,,,,
1,a,1,5,13,13,,,,,,,,,,,,,,,,,,,,
1,a,2,1,,,,,,,,,,,,,,,,,,,,,,
1,a,2,2,10*,,,,,,,,,,,,,,,,,,,,,
1,a,2,3,10*,1,,,,,,,,,,,,,,,,,,,,
1,a,2,4,10*,1,,,,,,,,,,,,,,,,,,,,
1,a,2,5,10*,1,,,,,,,,,,,,,,,,,,,,
1,a,3,1,,,,,,,,,,,,,,,,,,,,,,
1,a,3,2,2,1,,,,,,,,,,,,,,,,,,,,
1,a,3,3,36,13,,,,,,,,,,,,,,,,,,,,
1,a,3,4,51,6,1,,,,,,,,,,,,,,,,,,,
1,a,3,5,103,8,1,,,,,,,,,,,,,,,,,,,
1,a,4,1,,,,,,,,,,,,,,,,,,,,,,
1,a,4,2,,,,,,,,,,,,,,,,,,,,,,
1,a,4,3,,1,,,,,,,,,,,,,,,,,,,,
1,a,4,4,10,0,,,,,,,,,,,,,,,,,,,,
1,a,4,5,10,,,1,,,,,,,,,,,,,,,,,,
1,b,1,1,,,5,,,,,,,,,,,,,,,,,,,
1,b,1,2,,,4,1,,,,,,,,,,,,,,,,,,
1,b,1,3,,,0,2,,,,,,,,,,,,,,,,,,
1,b,1,4,,,2,1,,,,,,,,,,,,,,,,,,
1,b,1,5,,,0,1,,,,,,,,,,,,,,,,,,
1,b,2,1,,,1,0,,,,,,,,,,,,,,,,,,
